Date,EUR= (BID),EURCNH= (BID),HBEHBEA (TRDPRC_1),HBEHBEAOTC (TRDPRC_1),EURCNY= (BID),
17/3/2015,1.0597,6.6195,,,6.6175,
18/3/2015,1.0865,6.7622,,,6.5982,
19/3/2015,1.0659,6.6243,,,6.6152,
20/3/2015,1.082,6.7097,,,6.6179,
23/3/2015,1.0945,6.7901,,,6.6921,
24/3/2015,1.0924,6.7825,,,6.8047,
25/3/2015,1.0969,6.8132,,,6.8022,
26/3/2015,1.0883,6.7647,,,6.8555,
27/3/2015,1.0887,6.7635,,,6.7229,
30/3/2015,1.0832,6.7242,,,6.7289,
31/3/2015,1.073,6.6587,,,6.6559,
01/4/2015,1.0762,6.6762,,,6.6523,
02/4/2015,1.0881,6.7414,,,6.7038,
03/4/2015,1.0976,6.7414,,,6.7311,
06/4/2015,1.0921,6.828,,,6.7311,
07/4/2015,1.0813,6.7033,,,6.7333,
08/4/2015,1.0779,6.6904,,,6.7319,
09/4/2015,1.0658,6.6264,,,6.6601,
10/4/2015,1.0602,6.594,,,6.5909,
13/4/2015,1.0566,6.5763,,,6.567,
14/4/2015,1.0652,6.6196,,,6.5663,
15/4/2015,1.0684,6.6234,,,6.5648,
16/4/2015,1.076,6.6616,,,6.5888,
17/4/2015,1.0805,6.6931,,,6.683,
20/4/2015,1.0736,6.6512,,,6.6746,
21/4/2015,1.0733,6.6519,,,6.6086,
22/4/2015,1.0725,6.6418,,,6.6617,
23/4/2015,1.0824,6.6993,,,6.633,
24/4/2015,1.0872,6.7357,,,6.633,
27/4/2015,1.0886,6.7678,,,6.728,
28/4/2015,1.098,6.8121,,,6.7415,
29/4/2015,1.1129,6.8981,,,6.819,
30/4/2015,1.1222,6.9634,,,6.9302,
01/5/2015,1.12,6.949,,,6.9302,
04/5/2015,1.1144,6.9223,,,6.9174,
05/5/2015,1.1184,6.9399,,,6.8716,
06/5/2015,1.1351,7.0356,,,6.9726,
07/5/2015,1.1265,6.9973,,,7.0452,
08/5/2015,1.1203,6.9555,,,6.9598,
11/5/2015,1.1154,6.929,,,6.9268,
12/5/2015,1.1213,6.9603,,,6.9648,
13/5/2015,1.1355,7.0379,,,7.0406,
14/5/2015,1.1408,7.0771,,,7.0856,
15/5/2015,1.1451,7.0973,,,7.051,
18/5/2015,1.1314,7.0202,,,7.0583,
19/5/2015,1.1147,6.9215,,,6.9405,
20/5/2015,1.1091,6.8837,,,6.8817,
21/5/2015,1.1112,6.8846,,,6.8849,
22/5/2015,1.1015,6.8288,,,6.8219,
25/5/2015,1.0975,6.8074,,,6.7903,
26/5/2015,1.0873,6.7492,,,6.7479,
27/5/2015,1.0903,6.7642,,,6.7542,
28/5/2015,1.0946,6.7926,,,6.7698,
29/5/2015,1.0987,6.8168,,,6.8116,
01/6/2015,1.0925,6.7782,,,6.7589,
02/6/2015,1.1152,6.9127,,,6.7896,
03/6/2015,1.1274,6.987,,,6.8899,
